time,temperature
1481688000,33.94
1481691600,33.6
1481695200,32.75
1481698800,32.82
1481702400,31.11
1481706000,30.07
1481709600,29.52
1481713200,28.6
1481716800,28.16
1481720400,26.25
1481724000,31.51
1481727600,33.81
1481731200,34.5
1481734800,34.69
1481738400,34.82
1481742000,33.76
1481745600,33.49
1481749200,31.39
1481752800,28.24
1481756400,24.78
1481760000,21.64
1481763600,20.96
1481767200,18.56
1481770800,18.01
1481774400,21.1
1481778000,23.93
1481781600,27.1
1481785200,27.28
1481788800,27.16
1481792400,25.58
1481796000,25.18
1481799600,23.7
1481803200,21.24
1481806800,19.99
1481810400,21.17
1481814000,21.73
1481817600,21.43
1481821200,19.88
1481824800,19.9
1481828400,19.38
1481832000,18.1
1481835600,17.19
1481839200,16.94
1481842800,17.07
1481846400,17.59
1481850000,17.15
1481853600,17.13
1481857200,16.67
1481860800,13.8
1481864400,11.48
1481868000,8.42
1481871600,6.12
1481875200,4.72
1481878800,3.78
1481882400,3.36
1481886000,2.88
1481889600,2.12
1481893200,3.05
1481896800,5.93
1481900400,8.15
1481904000,11.9
1481907600,14.84
1481911200,17.21
1481914800,18.65
1481918400,18.49
1481922000,17.81
1481925600,15.7
1481929200,13.79
1481932800,12.7
1481936400,11.8
1481940000,10.29
1481943600,13.15
1481947200,13.87
1481950800,15.04
1481954400,16.56
1481958000,16.9
1481961600,17.12
1481965200,17.48
1481968800,17.86
1481972400,18.55
1481976000,18.8
1481979600,19.58
1481983200,19.87
1481986800,21.28
1481990400,21.63
1481994000,22.66
1481997600,22.91
1482001200,24
1482004800,24.81
1482008400,25.36
1482012000,25.88
1482015600,26
1482019200,26.24
1482022800,27.01
1482026400,28.15
1482030000,28.72
1482033600,30.23
1482037200,31
1482040800,32.91
1482044400,34.75
1482048000,35.13
1482051600,35.79
1482055200,36.05
1482058800,36.8
1482062400,37.19
1482066000,38.85
1482069600,42.98
1482073200,44.7
1482076800,46.32
1482080400,47.46
1482084000,48.61
1482087600,40.51
1482091200,38.22
1482094800,37.65
1482098400,36.25
1482102000,34.55
1482105600,33.01
1482109200,32.01
1482112800,30.43
1482116400,28.77
1482120000,27.2
1482123600,25.55
1482127200,24.43
1482130800,22.85
1482134400,21.33
1482138000,19.79
1482141600,19.07
1482145200,18.31
1482148800,17.3
1482152400,16.32
1482156000,16.08
1482159600,17.6
1482163200,19.3
1482166800,20.4
1482170400,20.72
1482174000,21.32
1482177600,21.77
1482181200,20.53
1482184800,18.65
1482188400,15.51
1482192000,12.96
